--------------------------
SDHDF Definition Overview
--------------------------
SDHDF Definition Version: 1.7
Author: Lawrence Toomey
Copyright: CSIRO 2019
--------------------------
SDHDF File Overview
- HDF_Object_Name -, - HDF_Object_Type -, - Description -
/SB14/weights,Dataset,SDHDF weights dataset
--------------------------
/SB15,Group,SDHDF sub-band group
/SB15/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB15/cal_frequency,Dataset,SDHDF frequency dataset
/SB15/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB15/data,Dataset,SDHDF astronomy dataset
/SB15/frequency,Dataset,SDHDF frequency dataset
/SB15/weights,Dataset,SDHDF weights dataset
--------------------------
/SB16,Group,SDHDF sub-band group
/SB16/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB16/cal_frequency,Dataset,SDHDF frequency dataset
/SB16/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB16/data,Dataset,SDHDF astronomy dataset
/SB16/frequency,Dataset,SDHDF frequency dataset
/SB16/weights,Dataset,SDHDF weights dataset
--------------------------
/SB17,Group,SDHDF sub-band group
/SB17/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB17/cal_frequency,Dataset,SDHDF frequency dataset
/SB17/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB17/data,Dataset,SDHDF astronomy dataset
/SB17/frequency,Dataset,SDHDF frequency dataset
/SB17/weights,Dataset,SDHDF weights dataset
--------------------------
/SB18,Group,SDHDF sub-band group
/SB18/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB18/cal_frequency,Dataset,SDHDF frequency dataset
/SB18/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB18/data,Dataset,SDHDF astronomy dataset
/SB18/frequency,Dataset,SDHDF frequency dataset
/SB18/weights,Dataset,SDHDF weights dataset
--------------------------
/SB19,Group,SDHDF sub-band group
/SB19/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB19/cal_frequency,Dataset,SDHDF frequency dataset
/SB19/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB19/data,Dataset,SDHDF astronomy dataset
/SB19/frequency,Dataset,SDHDF frequency dataset
/SB19/weights,Dataset,SDHDF weights dataset
--------------------------
/SB20,Group,SDHDF sub-band group
/SB20/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB20/cal_frequency,Dataset,SDHDF frequency dataset
/SB20/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB20/data,Dataset,SDHDF astronomy dataset
/SB20/frequency,Dataset,SDHDF frequency dataset
/SB20/weights,Dataset,SDHDF weights dataset
--------------------------
/SB21,Group,SDHDF sub-band group
/SB21/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB21/cal_frequency,Dataset,SDHDF frequency dataset
/SB21/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB21/data,Dataset,SDHDF astronomy dataset
/SB21/frequency,Dataset,SDHDF frequency dataset
/SB21/weights,Dataset,SDHDF weights dataset
--------------------------
/SB22,Group,SDHDF sub-band group
/SB22/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB22/cal_frequency,Dataset,SDHDF frequency dataset
/SB22/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB22/data,Dataset,SDHDF astronomy dataset
/SB22/frequency,Dataset,SDHDF frequency dataset
/SB22/weights,Dataset,SDHDF weights dataset
--------------------------
/SB23,Group,SDHDF sub-band group
/SB23/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB23/cal_frequency,Dataset,SDHDF frequency dataset
/SB23/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB23/data,Dataset,SDHDF astronomy dataset
/SB23/frequency,Dataset,SDHDF frequency dataset
/SB23/weights,Dataset,SDHDF weights dataset
--------------------------
/SB24,Group,SDHDF sub-band group
/SB24/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB24/cal_frequency,Dataset,SDHDF frequency dataset
/SB24/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB24/data,Dataset,SDHDF astronomy dataset
/SB24/frequency,Dataset,SDHDF frequency dataset
/SB24/weights,Dataset,SDHDF weights dataset
--------------------------
/SB25,Group,SDHDF sub-band group
/SB25/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB25/cal_frequency,Dataset,SDHDF frequency dataset
/SB25/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB25/data,Dataset,SDHDF astronomy dataset
/SB25/frequency,Dataset,SDHDF frequency dataset
/SB25/weights,Dataset,SDHDF weights dataset
--------------------------
/backend_header,Dataset,Astronomy backend meta-data
/band_header,Dataset,Sub-/zoom-band meta-data
/cal_backend_header,Dataset,Astronomy backend meta-data
/cal_band_header,Dataset,Sub-/zoom-band meta-data
