###############################################################################
SDHDF Definition Overview
###############################################################################
SDHDF Definition Version: 1.9
Author: Lawrence Toomey
Copyright: CSIRO 2020
###############################################################################

###############################################################################
SDHDF File Overview
HDF_Object_Name, HDF_Object_Type, Description
###############################################################################
uwl_190905_111646.hdf,File,SDHDF format file
###############################################################################

###############################################################################
SDHDF Structure Overview
HDF_Object_Name, HDF_Object_Type, Description
###############################################################################
/beam_0/band_SB9/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB9/metadata,Group,SDHDF group containing observation metadata
/beam_0/metadata,Group,SDHDF group containing observation metadata
/beam_0/metadata/band_params,Dataset,Metadata specific to the frequency bands of the antenna beam
###############################################################################
/config,Group,SDHDF group containing configuration parameters as defined at the time of the observation
/config/backend_config,Dataset,Astronomy backend configuration
###############################################################################
/metadata,Group,SDHDF group containing observation metadata
/metadata/beam_params,Dataset,Metadata specific to the antenna beam
/metadata/history,Dataset,Metadata specific to the processing history of the file
/metadata/primary_header,Dataset,General observation metadata
/metadata/software_versions,Dataset,Metadata specific to software packages used for creating or processing the file
###############################################################################

###############################################################################
SDHDF Structure Detail
HDF_Object_Name, HDF_Object_Type, Description
###############################################################################
/beam_0,Group,SDHDF group containing data products specific to the antenna beam
DESCRIPTION,Attribute,SDHDF group containing data products specific to the antenna beam
NAME,Attribute,beam_0
SDHDF_CLASS,Attribute,sdhdf_beam
/beam_0/band_SB0,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB0
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB1,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB1
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB10,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB10
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB11,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB11
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB12,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB12
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB13,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB13
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB14,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB14
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB15,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB15
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB16,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB16
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB17,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB17
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB18,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB18
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB19,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB19
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB2,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB2
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB20,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB20
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB21,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB21
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB22,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB22
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB23,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB23
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB24,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB24
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB25,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB25
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB3,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB3
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB4,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB4
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB5,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB5
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB6,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB6
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB7,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB7
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB8,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB8
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/band_SB9,Dataset,SDHDF group containing data products specific to the frequency band
DESCRIPTION,Attribute,SDHDF group containing data products specific to the frequency band
NAME,Attribute,band_SB9
SDHDF_CLASS,Attribute,sdhdf_band
/beam_0/metadata,Dataset,SDHDF group containing observation metadata
DESCRIPTION,Attribute,SDHDF group containing observation metadata
NAME,Attribute,metadata
SDHDF_CLASS,Attribute,sdhdf_meta
###############################################################################
/config,Group,SDHDF group containing configuration parameters as defined at the time of the observation
DESCRIPTION,Attribute,SDHDF group containing configuration parameters as defined at the time of the observation
NAME,Attribute,config
SDHDF_CLASS,Attribute,sdhdf_config
/config/backend_config,Dataset,Astronomy backend configuration
ADAPTIVE_FILTER,Attribute,?
ADAPTIVE_FILTER_EPSILON,Attribute,?
ADAPTIVE_FILTER_NCHAN,Attribute,?
ADAPTIVE_FILTER_NSAMP,Attribute,?
BACKEND_PHASE,Attribute,Backend phase convention
BW,Attribute,Bandwidth across all channels (-ve for lower sideband)
BW_UNIT,Attribute,MHz
BYTES_PER_SECOND,Attribute,Data rate
BYTES_PER_SECOND_UNIT,Attribute,bytes/s
CALFREQ,Attribute,?
CALFREQ_UNIT,Attribute,Hz
CAL_DUTY_CYCLE,Attribute,?
CAL_EPOCH,Attribute,? (UTC YYYY-MM-DD-hh:mm:ss)
CAL_FREQ,Attribute,?
