--------------------------
SDHDF Definition Overview
--------------------------
SDHDF Definition Version: 1.8
Author: Lawrence Toomey
Copyright: CSIRO 2019
--------------------------
SDHDF File Overview
- HDF_Object_Name -, - HDF_Object_Type -, - Description -
--------------------------
uwl_191208_055418.hdf,File,SDHDF format file
--------------------------
SDHDF Structure Overview
- HDF_Object_Name -, - HDF_Object_Type -, - Description -
--------------------------
/band_SB07,Group,SDHDF sub-band group
/band_SB07/cal_data_off,Dataset,SDHDF calibration dataset (cal signal off)
/band_SB07/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/band_SB07/cal_frequency,Dataset,SDHDF frequency dataset
/band_SB07/data,Dataset,SDHDF astronomy dataset
/band_SB07/frequency,Dataset,SDHDF frequency dataset
--------------------------
/band_SB08,Group,SDHDF sub-band group
/band_SB08/cal_data_off,Dataset,SDHDF calibration dataset (cal signal off)
/band_SB08/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/band_SB08/cal_frequency,Dataset,SDHDF frequency dataset
/band_SB08/data,Dataset,SDHDF astronomy dataset
/band_SB08/frequency,Dataset,SDHDF frequency dataset
--------------------------
/backend_header,Dataset,Astronomy backend meta-data
/band_header,Dataset,Sub-/zoom-band meta-data
/cal_backend_header,Dataset,Astronomy backend meta-data
/cal_band_header,Dataset,Sub-/zoom-band meta-data
/cal_obs_params,Dataset,Observation integration meta-data
/history,Dataset,Processing history meta-data
/obs_params,Dataset,Observation integration meta-data
/primary_header,Dataset,General observation meta-data
/software_versions,Dataset,Processing software package version meta-data
--------------------------
SDHDF Structure Detail
- HDF_Object_Name -, - HDF_Object_Type -, - Description -
--------------------------
/band_SB07,Group,SDHDF sub-band group
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
/band_SB07/cal_data_off,Dataset,SDHDF calibration dataset (cal signal off)
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/band_SB07/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/band_SB07/cal_frequency,Dataset,SDHDF frequency dataset
.. CLASS,Attribute,DIMENSION_SCALE
.. DESCRIPTION,Attribute,SDHDF object description
.. FRAME,Attribute,Reference frame (default: topocentric)
.. NAME,Attribute,SDHDF object name
.. REFERENCE_LIST,Attribute,REFERENCE_LIST
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/band_SB07/data,Dataset,SDHDF astronomy dataset
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/band_SB07/frequency,Dataset,SDHDF frequency dataset
.. CLASS,Attribute,DIMENSION_SCALE
.. DESCRIPTION,Attribute,SDHDF object description
.. FRAME,Attribute,Reference frame (default: topocentric)
.. NAME,Attribute,SDHDF object name
.. REFERENCE_LIST,Attribute,REFERENCE_LIST
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
--------------------------
/band_SB08,Group,SDHDF sub-band group
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
/band_SB08/cal_data_off,Dataset,SDHDF calibration dataset (cal signal off)
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/band_SB08/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/band_SB08/cal_frequency,Dataset,SDHDF frequency dataset
.. CLASS,Attribute,DIMENSION_SCALE
.. DESCRIPTION,Attribute,SDHDF object description
.. FRAME,Attribute,Reference frame (default: topocentric)
.. NAME,Attribute,SDHDF object name
.. REFERENCE_LIST,Attribute,REFERENCE_LIST
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/band_SB08/data,Dataset,SDHDF astronomy dataset
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/band_SB08/frequency,Dataset,SDHDF frequency dataset
.. CLASS,Attribute,DIMENSION_SCALE
.. DESCRIPTION,Attribute,SDHDF object description
.. FRAME,Attribute,Reference frame (default: topocentric)
.. NAME,Attribute,SDHDF object name
.. REFERENCE_LIST,Attribute,REFERENCE_LIST
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
--------------------------
/backend_header,Dataset,Astronomy backend meta-data,N/A,N/A
.. ADAPTIVE_FILTER,Attribute,?,None,<class 'str'>
.. ADAPTIVE_FILTER_EPSILON,Attribute,?,None,<class 'float'>
.. ADAPTIVE_FILTER_NCHAN,Attribute,?,None,<class 'int'>
.. ADAPTIVE_FILTER_NSAMP,Attribute,?,None,<class 'int'>
.. BACKEND_PHASE,Attribute,Backend phase convention,None,<class 'int'>
