.. BW,Attribute,Bandwidth across all channels (-ve for lower sideband),MHz,<class 'float'>
.. BYTES_PER_SECOND,Attribute,Data rate,bytes/s,<class 'float'>
.. CALFREQ,Attribute,?,Hz,<class 'float'>
.. CAL_DUTY_CYCLE,Attribute,?,None,<class 'float'>
.. CAL_EPOCH,Attribute,? (UTC YYYY-MM-DD-hh:mm:ss),None,<class 'str'>
.. CAL_FREQ,Attribute,?,Hz,<class 'float'>
.. CAL_PHASE,Attribute,?,None,<class 'float'>
.. CAL_SIGNAL,Attribute,?,None,<class 'int'>
.. CONTINUUM_OUTNCHAN,Attribute,Number of frequency channels in output data file,None,<class 'int'>
.. CONTINUUM_OUTNPOL,Attribute,"Number of polarisation products in output data file (XX, YY, Re(XY*), Im(XY*))",None,<class 'int'>
.. CONTINUUM_OUTSTOKES,Attribute,Number of stokes parameters in output data file,None,<class 'int'>
.. CONTINUUM_OUTTSAMP,Attribute,Approx. requested dump time per spectrum,s,<class 'float'>
.. CONTINUUM_OUTTSUBINT,Attribute,Approx. length of time for each output data file,s,<class 'float'>
.. DATA_HOST,Attribute,Data stream interface IP address,None,<class 'str'>
.. DATA_MCAST,Attribute,Data stream multi-cast IP address,None,<class 'str'>
.. DATA_PORT,Attribute,Data stream interface port number,None,<class 'int'>
.. DEC,Attribute,J2000 declination (DD:MM:SS.s),degrees,<class 'str'>
.. DEC_OFFSET,Attribute,J2000 declination offset,None,<class 'float'>
.. DESCRIPTION,Attribute,SDHDF object description,None,<class 'str'>
.. DSB,Attribute,?,?,<class 'int'>
.. DSPSR_GIT_HASH,Attribute,DSPSR git commit hash,None,<class 'str'>
.. ENCODING,Attribute,Bit encoding of quantized data (integers only),None,<class 'str'>
.. ENDIAN,Attribute,Byte ordering of samples,None,<class 'str'>
.. END_CHANNEL,Attribute,?,None,<class 'int'>
.. FILE_SIZE,Attribute,Output file size,bytes,<class 'int'>
.. FOLD_APPEND_OUTPUT,Attribute,Fold append flag,None,<class 'int'>
.. FOLD_DM,Attribute,Dispersion measure of folded data product,cm3pc-1,<class 'float'>
.. FOLD_OUTNBIN,Attribute,Number of bins in folded data product,None,<class 'int'>
.. FOLD_OUTNCHAN,Attribute,Number of channels in folded data product,None,<class 'int'>
.. FOLD_OUTSTOKES,Attribute,Number of polarisations in folded data product,None,<class 'int'>
.. FOLD_OUTTSUBINT,Attribute,Sub-integration length of folded data product,s,<class 'int'>
.. FOLD_SK,Attribute,Spectral kurtosis flag,None,<class 'int'>
.. FOLD_SK_NSAMPS,Attribute,Number of samples in spectral kurtosis processing,None,<class 'int'>
.. FOLD_SK_THRESHOLD,Attribute,Threshold for spectral kurtosis processing,None,<class 'int'>
.. FREQ,Attribute,Centre frequency of all channels,MHz,<class 'float'>
.. HDR_SIZE,Attribute,ASCII header size,bytes,<class 'int'>
.. HDR_VERSION,Attribute,ASCII header version,None,<class 'str'>
.. INSTRUMENT,Attribute,Software instrument name,None,<class 'str'>
.. MODE,Attribute,Observation mode,None,<class 'str'>
.. NAME,Attribute,SDHDF object name,None,<class 'str'>
.. NANT,Attribute,Number of beams,None,<class 'int'>
.. NBIN,Attribute,Number of interleaved bins,None,<class 'int'>
.. NBIT,Attribute,Number of bits per sample in input data,bits,<class 'int'>
.. NCHAN,Attribute,Number of frequency channels in input data,None,<class 'int'>
.. NDIM,Attribute,"Input data samples (real-valued/detected = 1, complex = 2",None,<class 'int'>
.. NPOL,Attribute,Number of polarisations in input data,None,<class 'int'>
.. OBSERVER,Attribute,Observer name,None,<class 'str'>
.. OBS_OFFSET,Attribute,?,bytes,<class 'int'>
.. ORDER,Attribute,?,?,<class 'str'>
.. OSAMP_DENOMINATOR,Attribute,?,None,<class 'int'>
.. OSAMP_NUMERATOR,Attribute,?,None,<class 'int'>
.. PERFORM_BASEBAND,Attribute,?,None,<class 'str'>
.. PERFORM_CONTINUUM,Attribute,?,None,<class 'str'>
.. PERFORM_FOLD,Attribute,?,None,<class 'str'>
.. PERFORM_SEARCH,Attribute,?,None,<class 'str'>
.. PERFORM_SPECTRAL_LINE,Attribute,?,None,<class 'str'>
.. PERFORM_VLBI,Attribute,?,None,<class 'str'>
.. PICOSECONDS,Attribute,Offset,?,<class 'float'>
.. PID,Attribute,OPAL Project ID,None,<class 'str'>
.. PSRCHIVE_GIT_HASH,Attribute,PSRCHIVE git commit hash,None,<class 'str'>
.. PSRDADA_GIT_HASH,Attribute,PSRDADA git commit hash,None,<class 'str'>
.. RA,Attribute,J2000 right ascension (HH:MM:SS.s),degrees,<class 'str'>
.. RA_OFFSET,Attribute,J2000 right ascension offset,None,<class 'float'>
.. RCVR_HAND,Attribute,Receiver hand (+1|-1),None,<class 'str'>
.. RECEIVER,Attribute,Receiver name,None,<class 'str'>
.. RESOLUTION,Attribute,?,bytes,<class 'int'>
.. SCAN_ID,Attribute,ID of TOS scan (0 if TCS),None,<class 'int'>
.. SCHED_BLOCK_ID,Attribute,ID of TOS schedule block (0 if TCS),None,<class 'int'>
.. SDHDF_CLASS,Attribute,SDHDF class name,None,<class 'str'>
.. SEARCH_COHERENT_DEDISPERSION,Attribute,Coherent dedispersion flag for search-mode,None,<class 'int'>
.. SEARCH_DM,Attribute,Dispersion measure to coherently dedisperse at,cm3pc-1,<class 'float'>
.. SEARCH_OUTNBIT,Attribute,Number of bits in search-mode data product,None,<class 'int'>
.. SEARCH_OUTNCHAN,Attribute,Number of channels in search-mode data product,None,<class 'int'>
.. SEARCH_OUTSTOKES,Attribute,Number of polarisations in search-mode data product,None,<class 'int'>
.. SEARCH_OUTTSAMP,Attribute,Sample time of search-mode data product,us,<class 'int'>
.. SEARCH_OUTTSUBINT,Attribute,Sub-integration length of search-mode data product,s,<class 'int'>
.. SOURCE,Attribute,Source name,None,<class 'str'>
.. SPIP_GIT_HASH,Attribute,SPIP git commit hash,None,<class 'str'>
.. START_CHANNEL,Attribute,?,None,<class 'int'>
.. STATE,Attribute,?,None,<class 'str'>
.. STREAM_BEAM_ID,Attribute,?,None,<class 'int'>
.. STREAM_HOST,Attribute,?,None,<class 'str'>
.. STREAM_SUBBAND_ID,Attribute,?,None,<class 'int'>
.. TELESCOPE,Attribute,Telescope name,None,<class 'str'>
.. TOBS,Attribute,Observation length,None,<class 'str'>
.. TSAMP,Attribute,Sampling rate of input data,s,<class 'float'>
.. TSYS_AVG_TIME,Attribute,?,None,<class 'int'>
.. TSYS_FREQ_RES,Attribute,?,None,<class 'float'>
.. UDP_NSAMP,Attribute,?,None,<class 'int'>
.. UTC_START,Attribute,Observation start time (UTC YYYY-MM-DD-hh:mm:ss),None,<class 'str'>
.. UTC_STOP,Attribute,Observation stop time (UTC YYYY-MM-DD-hh:mm:ss),None,<class 'str'>
.. ZOOM1_ACTIVE,Attribute,State of zoom band 1,None,<class 'int'>
.. ZOOM1_BW,Attribute,Bandwidth of zoom band 1,MHz,<class 'int'>
.. ZOOM1_FREQUENCY,Attribute,Frequency of zoom band 1,MHz,<class 'float'>
.. ZOOM1_MODE,Attribute,Mode of zoom band 1,None,<class 'str'>
.. ZOOM2_ACTIVE,Attribute,State of zoom band 2,None,<class 'int'>
.. ZOOM2_BW,Attribute,Bandwidth of zoom band 2,MHz,<class 'int'>
.. ZOOM2_FREQUENCY,Attribute,Frequency of zoom band 2,MHz,<class 'float'>
.. ZOOM2_MODE,Attribute,Mode of zoom band 2,None,<class 'str'>
/band_header,Dataset,Sub-/zoom-band meta-data,N/A,N/A
.. CENTRE_FREQ,Attribute,Band centre frequency,MHz,<class 'float'>
.. DESCRIPTION,Attribute,SDHDF object description,None,<class 'str'>
.. DUMP_TIME,Attribute,Band dump time,s,<class 'float'>
.. HIGH_FREQ,Attribute,Band range high frequency,MHz,<class 'float'>
.. LABEL,Attribute,Band label,None,<class 'str'>
.. LOW_FREQ,Attribute,Band range low frequency,MHz,<class 'float'>
.. NAME,Attribute,SDHDF object name,None,<class 'str'>
.. N_BEAMS,Attribute,Number of beams,None,<class 'int'>
.. N_CHANS,Attribute,Number of channels in band,None,<class 'int'>
.. N_DUMPS,Attribute,Number of spectral data dumps in band,None,<class 'int'>
.. N_POLS,Attribute,"Number of polarisations (1, 2, 4)",None,<class 'int'>
.. SDHDF_CLASS,Attribute,SDHDF class name,None,<class 'str'>
/cal_backend_header,Dataset,Astronomy backend meta-data,N/A,N/A
.. ADAPTIVE_FILTER,Attribute,?,None,<class 'str'>
.. ADAPTIVE_FILTER_EPSILON,Attribute,?,None,<class 'float'>
.. ADAPTIVE_FILTER_NCHAN,Attribute,?,None,<class 'int'>
.. ADAPTIVE_FILTER_NSAMP,Attribute,?,None,<class 'int'>
.. BACKEND_PHASE,Attribute,Backend phase convention,None,<class 'int'>
.. BW,Attribute,Bandwidth across all channels (-ve for lower sideband),MHz,<class 'float'>
.. BYTES_PER_SECOND,Attribute,Data rate,bytes/s,<class 'float'>
.. CALFREQ,Attribute,?,Hz,<class 'float'>
.. CAL_DUTY_CYCLE,Attribute,?,None,<class 'float'>
.. CAL_EPOCH,Attribute,? (UTC YYYY-MM-DD-hh:mm:ss),None,<class 'str'>
.. CAL_FREQ,Attribute,?,Hz,<class 'float'>
.. CAL_PHASE,Attribute,?,None,<class 'float'>
.. CAL_SIGNAL,Attribute,?,None,<class 'int'>
.. CONTINUUM_OUTNCHAN,Attribute,Number of frequency channels in output data file,None,<class 'int'>
.. CONTINUUM_OUTNPOL,Attribute,"Number of polarisation products in output data file (XX, YY, Re(XY*), Im(XY*))",None,<class 'int'>
.. CONTINUUM_OUTSTOKES,Attribute,Number of stokes parameters in output data file,None,<class 'int'>
.. CONTINUUM_OUTTSAMP,Attribute,Approx. requested dump time per spectrum,s,<class 'float'>
.. CONTINUUM_OUTTSUBINT,Attribute,Approx. length of time for each output data file,s,<class 'float'>
.. DATA_HOST,Attribute,Data stream interface IP address,None,<class 'str'>
.. DATA_MCAST,Attribute,Data stream multi-cast IP address,None,<class 'str'>
.. DATA_PORT,Attribute,Data stream interface port number,None,<class 'int'>
.. DEC,Attribute,J2000 declination (DD:MM:SS.s),degrees,<class 'str'>
.. DEC_OFFSET,Attribute,J2000 declination offset,None,<class 'float'>
.. DESCRIPTION,Attribute,SDHDF object description,None,<class 'str'>
.. DSB,Attribute,?,?,<class 'int'>
.. DSPSR_GIT_HASH,Attribute,DSPSR git commit hash,None,<class 'str'>
.. ENCODING,Attribute,Bit encoding of quantized data (integers only),None,<class 'str'>
.. ENDIAN,Attribute,Byte ordering of samples,None,<class 'str'>
.. END_CHANNEL,Attribute,?,None,<class 'int'>
.. FILE_SIZE,Attribute,Output file size,bytes,<class 'int'>
.. FOLD_APPEND_OUTPUT,Attribute,Fold append flag,None,<class 'int'>
.. FOLD_DM,Attribute,Dispersion measure of folded data product,cm3pc-1,<class 'float'>
.. FOLD_OUTNBIN,Attribute,Number of bins in folded data product,None,<class 'int'>
.. FOLD_OUTNCHAN,Attribute,Number of channels in folded data product,None,<class 'int'>
.. FOLD_OUTSTOKES,Attribute,Number of polarisations in folded data product,None,<class 'int'>
.. FOLD_OUTTSUBINT,Attribute,Sub-integration length of folded data product,s,<class 'int'>
.. FOLD_SK,Attribute,Spectral kurtosis flag,None,<class 'int'>
.. FOLD_SK_NSAMPS,Attribute,Number of samples in spectral kurtosis processing,None,<class 'int'>
.. FOLD_SK_THRESHOLD,Attribute,Threshold for spectral kurtosis processing,None,<class 'int'>
.. FREQ,Attribute,Centre frequency of all channels,MHz,<class 'float'>
.. HDR_SIZE,Attribute,ASCII header size,bytes,<class 'int'>
.. HDR_VERSION,Attribute,ASCII header version,None,<class 'str'>
.. INSTRUMENT,Attribute,Software instrument name,None,<class 'str'>
.. MODE,Attribute,Observation mode,None,<class 'str'>
.. NAME,Attribute,SDHDF object name,None,<class 'str'>
.. NANT,Attribute,Number of beams,None,<class 'int'>
.. NBIN,Attribute,Number of interleaved bins,None,<class 'int'>
.. NBIT,Attribute,Number of bits per sample in input data,bits,<class 'int'>
.. NCHAN,Attribute,Number of frequency channels in input data,None,<class 'int'>
.. NDIM,Attribute,"Input data samples (real-valued/detected = 1, complex = 2",None,<class 'int'>
.. NPOL,Attribute,Number of polarisations in input data,None,<class 'int'>
.. OBSERVER,Attribute,Observer name,None,<class 'str'>
.. OBS_OFFSET,Attribute,?,bytes,<class 'int'>
.. ORDER,Attribute,?,?,<class 'str'>
.. OSAMP_DENOMINATOR,Attribute,?,None,<class 'int'>
.. OSAMP_NUMERATOR,Attribute,?,None,<class 'int'>
.. PERFORM_BASEBAND,Attribute,?,None,<class 'str'>
.. PERFORM_CONTINUUM,Attribute,?,None,<class 'str'>
.. PERFORM_FOLD,Attribute,?,None,<class 'str'>
.. PERFORM_SEARCH,Attribute,?,None,<class 'str'>
.. PERFORM_SPECTRAL_LINE,Attribute,?,None,<class 'str'>
.. PERFORM_VLBI,Attribute,?,None,<class 'str'>
.. PICOSECONDS,Attribute,Offset,?,<class 'float'>
.. PID,Attribute,OPAL Project ID,None,<class 'str'>
.. PSRCHIVE_GIT_HASH,Attribute,PSRCHIVE git commit hash,None,<class 'str'>
.. PSRDADA_GIT_HASH,Attribute,PSRDADA git commit hash,None,<class 'str'>
.. RA,Attribute,J2000 right ascension (HH:MM:SS.s),degrees,<class 'str'>
.. RA_OFFSET,Attribute,J2000 right ascension offset,None,<class 'float'>
.. RCVR_HAND,Attribute,Receiver hand (+1|-1),None,<class 'str'>
.. RECEIVER,Attribute,Receiver name,None,<class 'str'>
.. RESOLUTION,Attribute,?,bytes,<class 'int'>
.. SCAN_ID,Attribute,ID of TOS scan (0 if TCS),None,<class 'int'>
.. SCHED_BLOCK_ID,Attribute,ID of TOS schedule block (0 if TCS),None,<class 'int'>
.. SDHDF_CLASS,Attribute,SDHDF class name,None,<class 'str'>
.. SEARCH_COHERENT_DEDISPERSION,Attribute,Coherent dedispersion flag for search-mode,None,<class 'int'>
.. SEARCH_DM,Attribute,Dispersion measure to coherently dedisperse at,cm3pc-1,<class 'float'>
.. SEARCH_OUTNBIT,Attribute,Number of bits in search-mode data product,None,<class 'int'>
.. SEARCH_OUTNCHAN,Attribute,Number of channels in search-mode data product,None,<class 'int'>
.. SEARCH_OUTSTOKES,Attribute,Number of polarisations in search-mode data product,None,<class 'int'>
.. SEARCH_OUTTSAMP,Attribute,Sample time of search-mode data product,us,<class 'int'>
.. SEARCH_OUTTSUBINT,Attribute,Sub-integration length of search-mode data product,s,<class 'int'>
.. SOURCE,Attribute,Source name,None,<class 'str'>
.. SPIP_GIT_HASH,Attribute,SPIP git commit hash,None,<class 'str'>
.. START_CHANNEL,Attribute,?,None,<class 'int'>
.. STATE,Attribute,?,None,<class 'str'>
.. STREAM_BEAM_ID,Attribute,?,None,<class 'int'>
.. STREAM_HOST,Attribute,?,None,<class 'str'>
.. STREAM_SUBBAND_ID,Attribute,?,None,<class 'int'>
.. TELESCOPE,Attribute,Telescope name,None,<class 'str'>
.. TOBS,Attribute,Observation length,None,<class 'str'>
.. TSAMP,Attribute,Sampling rate of input data,s,<class 'float'>
.. TSYS_AVG_TIME,Attribute,?,None,<class 'int'>
.. TSYS_FREQ_RES,Attribute,?,None,<class 'float'>
.. UDP_NSAMP,Attribute,?,None,<class 'int'>
.. UTC_START,Attribute,Observation start time (UTC YYYY-MM-DD-hh:mm:ss),None,<class 'str'>
.. UTC_STOP,Attribute,Observation stop time (UTC YYYY-MM-DD-hh:mm:ss),None,<class 'str'>
.. ZOOM1_ACTIVE,Attribute,State of zoom band 1,None,<class 'int'>
.. ZOOM1_BW,Attribute,Bandwidth of zoom band 1,MHz,<class 'int'>
.. ZOOM1_FREQUENCY,Attribute,Frequency of zoom band 1,MHz,<class 'float'>
.. ZOOM1_MODE,Attribute,Mode of zoom band 1,None,<class 'str'>
.. ZOOM2_ACTIVE,Attribute,State of zoom band 2,None,<class 'int'>
.. ZOOM2_BW,Attribute,Bandwidth of zoom band 2,MHz,<class 'int'>
.. ZOOM2_FREQUENCY,Attribute,Frequency of zoom band 2,MHz,<class 'float'>
.. ZOOM2_MODE,Attribute,Mode of zoom band 2,None,<class 'str'>
/cal_band_header,Dataset,Sub-/zoom-band meta-data,N/A,N/A
.. CENTRE_FREQ,Attribute,Band centre frequency,MHz,<class 'float'>
.. DESCRIPTION,Attribute,SDHDF object description,None,<class 'str'>
.. DUMP_TIME,Attribute,Band dump time,s,<class 'float'>
.. HIGH_FREQ,Attribute,Band range high frequency,MHz,<class 'float'>
.. LABEL,Attribute,Band label,None,<class 'str'>
.. LOW_FREQ,Attribute,Band range low frequency,MHz,<class 'float'>
.. NAME,Attribute,SDHDF object name,None,<class 'str'>
.. N_BEAMS,Attribute,Number of beams,None,<class 'int'>
.. N_CHANS,Attribute,Number of channels in band,None,<class 'int'>
.. N_DUMPS,Attribute,Number of spectral data dumps in band,None,<class 'int'>
.. N_POLS,Attribute,"Number of polarisations (1, 2, 4)",None,<class 'int'>
.. SDHDF_CLASS,Attribute,SDHDF class name,None,<class 'str'>
/cal_obs_params,Dataset,Observation integration meta-data,N/A,N/A
.. AEST,Attribute,Australian Eastern Standard Time (HH:MM:SS.s),hours,<class 'str'>
.. AZ,Attribute,Antenna azimuth angle,degrees,<class 'float'>
.. AZ_DRIVE_RATE,Attribute,Azimuth drive rate,degrees/min,<class 'float'>
.. DEC_DEG,Attribute,J2000 declination,degrees,<class 'float'>
.. DEC_OFFSET,Attribute,J2000 declination offset,arc-sec,<class 'float'>
.. DEC_STR,Attribute,J2000 declination,hours,<class 'str'>
.. DESCRIPTION,Attribute,SDHDF object description,None,<class 'str'>
.. EL,Attribute,Antenna elevation angle,degrees,<class 'float'>
.. ELAPSED_TIME,Attribute,Time since integration start,s,<class 'float'>
.. GB,Attribute,Galactic latitude,degrees,<class 'float'>
.. GL,Attribute,Galactic longitude,degrees,<class 'float'>
.. HOUR_ANGLE,Attribute,Hour angle,degrees,<class 'float'>
.. MJD,Attribute,Timestamp at integration start (MJD),days,<class 'float'>
.. NAME,Attribute,SDHDF object name,None,<class 'str'>
.. PARA_ANGLE,Attribute,Parallactic angle,degrees,<class 'float'>
.. RA_DEG,Attribute,J2000 right ascension,degrees,<class 'float'>
.. RA_OFFSET,Attribute,J2000 right ascension offset,arc-sec,<class 'float'>
.. RA_STR,Attribute,J2000 right ascension,degrees,<class 'str'>
.. SDHDF_CLASS,Attribute,SDHDF class name,None,<class 'str'>
.. TIME_DB,Attribute,Database Universal Coordinated Time (HH:MM:SS.s),hours,<class 'str'>
.. UTC,Attribute,Timestamp at integration start (UTC),hours,<class 'str'>
.. UT_DATE,Attribute,Date at integration start (UTC YYYY-MM-DD-hh:mm:ss),None,<class 'str'>
.. WIND_DIR,Attribute,Wind direction,degrees,<class 'float'>
.. WIND_SPD,Attribute,Wind speed,km/hr,<class 'float'>
.. ZE,Attribute,Antenna zenith angle,degrees,<class 'float'>
.. ZE_DRIVE_RATE,Attribute,Zenith drive rate,degrees/min,<class 'float'>
/history,Dataset,Processing history meta-data,N/A,N/A
.. DATE,Attribute,Date (UTC YYYY-MM-DD-hh:mm:ss),None,<class 'str'>
.. DESCRIPTION,Attribute,SDHDF object description,None,<class 'str'>
.. NAME,Attribute,SDHDF object name,None,<class 'str'>
.. PROC_ARGS,Attribute,Process command,None,<class 'str'>
.. PROC_DESCR,Attribute,Process description,None,<class 'str'>
.. PROC_HOST,Attribute,Host machine running the process,None,<class 'str'>
.. PROC_NAME,Attribute,Process name,None,<class 'str'>
.. SDHDF_CLASS,Attribute,SDHDF class name,None,<class 'str'>
/obs_params,Dataset,Observation integration meta-data,N/A,N/A
.. AEST,Attribute,Australian Eastern Standard Time (HH:MM:SS.s),hours,<class 'str'>
.. AZ,Attribute,Antenna azimuth angle,degrees,<class 'float'>
.. AZ_DRIVE_RATE,Attribute,Azimuth drive rate,degrees/min,<class 'float'>
.. DEC_DEG,Attribute,J2000 declination,degrees,<class 'float'>
.. DEC_OFFSET,Attribute,J2000 declination offset,arc-sec,<class 'float'>
.. DEC_STR,Attribute,J2000 declination,hours,<class 'str'>
.. DESCRIPTION,Attribute,SDHDF object description,None,<class 'str'>
.. EL,Attribute,Antenna elevation angle,degrees,<class 'float'>
.. ELAPSED_TIME,Attribute,Time since integration start,s,<class 'float'>
.. GB,Attribute,Galactic latitude,degrees,<class 'float'>
.. GL,Attribute,Galactic longitude,degrees,<class 'float'>
.. HOUR_ANGLE,Attribute,Hour angle,degrees,<class 'float'>
.. MJD,Attribute,Timestamp at integration start (MJD),days,<class 'float'>
.. NAME,Attribute,SDHDF object name,None,<class 'str'>
.. PARA_ANGLE,Attribute,Parallactic angle,degrees,<class 'float'>
.. RA_DEG,Attribute,J2000 right ascension,degrees,<class 'float'>
.. RA_OFFSET,Attribute,J2000 right ascension offset,arc-sec,<class 'float'>
.. RA_STR,Attribute,J2000 right ascension,degrees,<class 'str'>
.. SDHDF_CLASS,Attribute,SDHDF class name,None,<class 'str'>
.. TIME_DB,Attribute,Database Universal Coordinated Time (HH:MM:SS.s),hours,<class 'str'>
.. UTC,Attribute,Timestamp at integration start (UTC),hours,<class 'str'>
.. UT_DATE,Attribute,Date at integration start (UTC YYYY-MM-DD-hh:mm:ss),None,<class 'str'>
.. WIND_DIR,Attribute,Wind direction,degrees,<class 'float'>
.. WIND_SPD,Attribute,Wind speed,km/hr,<class 'float'>
.. ZE,Attribute,Antenna zenith angle,degrees,<class 'float'>
