704.4990 1.54685 1.86805
705.4990 2.29324 -1.22496
706.4990 0.882499 -0.138747
707.4990 0.549508 -1.26241
708.4990 2.28859 -0.797533
709.4990 0.116917 -1.98968
710.4990 3.26582 -3.20969
711.4990 3.30589 0.928892
712.4990 12.4296 19.1694
713.4990 1.30923 1.31035
714.4990 -44.8801 -58.5576
715.4990 -102.778 -94.4824
716.4990 -65.6942 -54.2696
717.4990 48.2648 98.1007
718.4990 54.0029 37.9174
719.4990 52.3086 24.8992
720.4990 37.1326 21.9058
721.4990 37.0654 14.5592
722.4990 31.2753 16.1085
723.4990 17.5006 2.99194
724.4990 11.2166 4.6545
725.4990 -0.426584 -7.54647
726.4990 3.36877 6.18568
727.4990 5.40218 -2.62964
728.4990 8.70871 3.98212
729.4990 20.1058 -3.8743
730.4990 23.0055 14.718
731.4990 -23.0796 -38.9088
732.4990 1.29793 1.28571
733.4990 1.31766 1.35594
734.4990 1.29363 1.34881
735.4990 1.31786 1.33424
736.4990 1.32249 1.32295
737.4990 1.30328 1.29211
738.4990 1.29447 1.31812
739.4990 1.27515 1.31635
740.4990 1.28442 1.31893
741.4990 1.26875 1.27348
742.4990 1.2257 1.26318
743.4990 1.27078 1.2573
744.4990 1.26702 1.26654
745.4990 1.27274 1.2665
746.4990 1.22998 1.24301
747.4990 1.25852 1.26802
748.4990 1.27155 1.27822
749.4990 1.273 1.28235
750.4990 1.26849 1.30649
751.4990 1.27732 1.28124
752.4990 1.26517 1.28794
753.4990 1.28449 1.32172
754.4990 1.29402 1.31375
755.4990 1.31711 1.34543
756.4990 1.38119 1.3556
757.4990 1.44148 1.52054
758.4990 -29.5463 -31.4127
759.4990 7.09039 8.63424
760.4990 8.10943 9.55713
761.4990 -0.288527 -0.684635
762.4990 27.4858 26.9595
763.4990 33.858 22.1106
764.4990 14.8965 12.7903
765.4990 14.8543 14.3118
766.4990 9.1973 9.55362
767.4990 5.69426 5.99357
768.4990 1.77747 1.02402
769.4990 2.06255 2.14891
770.4990 2.85456 2.81248
771.4990 4.72878 5.06933
772.4990 -7.09514 -6.87814
773.4990 0.146185 -0.702208
774.4990 -2.2115 -2.59718
